RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
720080,201548407,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/11/2015,02/07/2015 10:30:00 AM,02/11/2015 05:00:00 AM,21 AV E / E ROY ST,C,C2,7600.1002,-122.304718018,47.625213623,"(47.625213623, -122.304718018)"
720546,201547429,1201,2,ROBBERY-BUSINESS-GUN,1200,ROBBERY,02/10/2015,02/10/2015 09:42:00 PM,,23XX BLOCK OF E MADISON ST,C,C2,7700.4005,-122.301834106,47.619667053,"(47.619667053, -122.301834106)"
720806,201544488,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/08/2015,02/06/2015 08:00:00 PM,02/08/2015 09:00:00 AM,22 AV E / E LOUISA ST,C,C2,6200.2021,-122.303787231,47.64245224,"(47.64245224, -122.303787231)"
720894,201546008,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,02/09/2015,02/09/2015 08:00:00 AM,02/09/2015 05:45:00 PM,3XX BLOCK OF 26 AV E,C,C2,7700.2009,-122.298774719,47.623126984,"(47.623126984, -122.298774719)"
721223,201538399,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/03/2015,02/02/2015 04:00:00 PM,02/03/2015 06:50:00 AM,18XX BLOCK OF 20 AV,C,C2,7900.5000,-122.306091309,47.617881775,"(47.617881775, -122.306091309)"
722094,201535860,1313,0,ASSLT-NONAGG,1300,ASSAULT,01/31/2015,01/31/2015 10:04:00 PM,,17XX BLOCK OF E MADISON ST,C,C2,7900.4000,-122.309494019,47.6158638,"(47.6158638, -122.309494019)"
722177,201532607,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,01/29/2015,01/23/2015 01:00:00 PM,01/28/2015 08:00:00 PM,18XX BLOCK OF E JOHN ST,C,C2,7600.2006,-122.308059692,47.619667053,"(47.619667053, -122.308059692)"
722501,201531500,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/28/2015,01/27/2015 11:00:00 PM,01/28/2015 09:00:00 AM,20XX BLOCK OF 26 AV E,C,C2,6200.1046,-122.299423218,47.638710022,"(47.638710022, -122.299423218)"
722840,2015435509,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/16/2015,12/15/2015 04:30:00 PM,12/15/2015 05:00:00 PM,18 AV E / E HARRISON ST,C,C2,7600.3006,-122.30871582,47.622070313,"(47.622070313, -122.30871582)"
723035,201527326,1313,0,ASSLT-NONAGG,1300,ASSAULT,01/25/2015,01/25/2015 01:41:00 AM,,41XX BLOCK OF E MADISON ST,C,C2,6300.1019,-122.279716492,47.634628296,"(47.634628296, -122.279716492)"
723183,201529422,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/26/2015,01/25/2015 04:30:00 PM,01/26/2015 07:00:00 PM,E HIGHLAND DR / 22 AV E,C,C2,6400.3001,-122.303527832,47.630596161,"(47.630596161, -122.303527832)"
723337,201525613,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/23/2015,01/23/2015 03:44:00 PM,,17XX BLOCK OF 17 AV,C,C2,7900.5008,-122.310142517,47.617027283,"(47.617027283, -122.310142517)"
723343,201526299,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,01/24/2015,01/24/2015 03:40:00 AM,,6XX BLOCK OF 19 AV E,C,C2,7600.1003,-122.307312012,47.624828339,"(47.624828339, -122.307312012)"
723769,201525652,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/23/2015,01/18/2015 12:00:00 PM,01/23/2015 12:00:00 PM,4XX BLOCK OF 18 AV E,C,C2,7600.3001,-122.308700562,47.622657776,"(47.622657776, -122.308700562)"
724099,201523585,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/21/2015,01/21/2015 05:30:00 AM,01/21/2015 08:30:00 PM,3XX BLOCK OF 18 AV E,C,C2,7600.3007,-122.30872345,47.62128067,"(47.62128067, -122.30872345)"
724352,201518981,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,01/18/2015,01/17/2015 09:30:00 PM,01/17/2015 09:45:00 PM,20XX BLOCK OF 43 AV E,C,C2,6300.1008,-122.277099609,47.638027191,"(47.638027191, -122.277099609)"
724415,201520883,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/19/2015,01/17/2015 09:00:00 AM,01/19/2015 03:00:00 PM,2XX BLOCK OF 19 AV E,C,C2,7600.2005,-122.307357788,47.620075226,"(47.620075226, -122.307357788)"
724971,201517218,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/16/2015,01/14/2015 06:30:00 PM,01/16/2015 08:00:00 AM,12XX BLOCK OF 19 AV E,C,C2,6400.3003,-122.307235718,47.631462097,"(47.631462097, -122.307235718)"
